"","Age_Categories","Sex_of_driver","Educational_level","Vehicle_driver_relation","Driving_experience","Lanes_or_Medians","Types_of_Junction","Road_surface_type","Light_conditions","Weather_conditions","Type_of_collision","Vehicle_movement","Pedestrian_movement","Cause_of_accident","Accident_severity"
"144","Under 18","Male","Junior high school","Employee","2-5yr","Undivided Two way","No junction","Asphalt roads","Darkness - lights lit","Normal","Collision with pedestrians","Parked","Not a Pedestrian","Changing lane to the right",1
"145","18-30","Unknown","Junior high school","Employee","2-5yr","Double carriageway (median)","Y Shape","Asphalt roads","Darkness - lights lit","Raining","Collision with pedestrians","Going straight","Not a Pedestrian","Changing lane to the right",2
"146","18-30","Male","Junior high school","Employee","5-10yr","other","Y Shape","Asphalt roads","Darkness - lights lit","Raining","Collision with roadside objects","Going straight","Not a Pedestrian","Driving carelessly",2
"147","18-30","Male","Elementary school","Employee","5-10yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Darkness - lights lit","Raining","Vehicle with vehicle collision","Unknown","Not a Pedestrian","Overtaking",2
"148","18-30","Unknown","Junior high school","Owner","5-10yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Darkness - lights lit","Raining","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the right",2
"149","18-30","Male","Junior high school","Employee","5-10yr","Undivided Two way","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No distancing",2
"150","Under 18","Male","Junior high school","Owner","5-10yr","Undivided Two way","Crossing","Asphalt roads","Daylight","Raining","Vehicle with vehicle collision","Stopping","Not a Pedestrian","Other",2
"151","18-30","Male","Illiterate","Employee","2-5yr","Undivided Two way","Y Shape","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the right",2
"152","31-50","Male","Junior high school","Employee","5-10yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Overtaking","Not a Pedestrian","Changing lane to the right",2
"153","31-50","Male","Junior high school","Employee","Below 1yr","other","Y Shape","Asphalt roads","Darkness - lights lit","Normal","Collision with pedestrians","Going straight","Not a Pedestrian","Overtaking",2
"154","18-30","Male","Junior high school","Employee","1-2yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Darkness - lights lit","Raining and Windy","Collision with roadside objects","Reversing","Not a Pedestrian","Other",2
"155","18-30","Male","Elementary school","Employee","2-5yr","Double carriageway (median)","No junction","Earth roads","Darkness - lights lit","Raining and Windy","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving to the left",2
"156","18-30","Female","Elementary school","Employee","2-5yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Cloudy","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Overtaking",2
"157","31-50","Male","Elementary school","Employee","5-10yr","Two-way (divided with broken lines road marking)","Y Shape","Unknown","Daylight","Cloudy","Vehicle with vehicle collision","Unknown","Not a Pedestrian","No priority to vehicle",2
"158","31-50","Male","Junior high school","Employee","5-10yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Cloudy","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Moving Backward",2
"159","Under 18","Male","Junior high school","Unknown","5-10yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Darkness - lights lit","Raining","With Train","Moving Backward","Not a Pedestrian","Other",2
"160","Under 18","Male","Junior high school","Employee","Above 10yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Darkness - lights lit","Raining","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No priority to vehicle",2
"161","Under 18","Male","Junior high school","Employee","Above 10yr","Double carriageway (median)","Y Shape","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Moving Backward","Not a Pedestrian","No priority to pedestrian",2
"162","31-50","Male","Junior high school","Owner","Above 10yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the right",2
"163","Over 51","Male","Junior high school","Employee","5-10yr","Undivided Two way","Crossing","Asphalt roads","Darkness - no lighting","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the right",2
"164","31-50","Male","Junior high school","Employee","5-10yr","Two-way (divided with broken lines road marking)","Crossing","Asphalt roads","Darkness - no lighting","Normal","Vehicle with vehicle collision","Unknown","Not a Pedestrian","Changing lane to the right",2
"165","31-50","Male","Junior high school","Employee","2-5yr","Two-way (divided with broken lines road marking)","Crossing","Asphalt roads","Darkness - no lighting","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving to the left",2
"166","18-30","Male","Elementary school","Employee","5-10yr","Two-way (divided with broken lines road marking)","Crossing","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the left",2
"167","18-30","Male","Junior high school","Employee","2-5yr","Two-way (divided with broken lines road marking)","Crossing","Gravel roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight"," or other","Moving Backward",2
"168","Over 51","Male","High school","Owner","5-10yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Darkness - lights lit","Raining","Vehicle with vehicle collision","Turnover","Not a Pedestrian","Driving at high speed",2
"169","18-30","Male","Junior high school","Employee","Above 10yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Darkness - lights lit","Raining","Collision with pedestrians","Going straight","Not a Pedestrian","Moving Backward",2
"170","31-50","Male","Junior high school","Employee","2-5yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Darkness - lights lit","Normal","Collision with roadside objects","Going straight","Not a Pedestrian","No distancing",2
"171","31-50","Unknown","Elementary school","Employee","2-5yr","Double carriageway (median)","Y Shape","Asphalt roads","Darkness - lights lit","Normal","Collision with roadside objects","Going straight","Not a Pedestrian","Other",2
"172","Over 51","Male","High school","Owner","Above 10yr","Undivided Two way","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Reversing","Not a Pedestrian","No priority to vehicle",2
"173","Over 51","Male","Elementary school","Employee","1-2yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Getting off","Not a Pedestrian","Changing lane to the right",2
"174","18-30","Unknown","Junior high school","Employee","Above 10yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Other",2
"175","31-50","Male","Junior high school","Unknown","5-10yr","Two-way (divided with broken lines road marking)","Crossing","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Getting off","Not a Pedestrian","No distancing",2
"176","Over 51","Male","Junior high school","Owner","5-10yr","Undivided Two way","Crossing","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Driving carelessly",2
"177","18-30","Male","Above high school","Employee","5-10yr","Two-way (divided with broken lines road marking)","Crossing","Asphalt roads","Darkness - lights lit","Raining","Collision with roadside objects","Going straight","Not a Pedestrian","No distancing",2
"178","18-30","Male","Junior high school","Employee","5-10yr","other","Crossing","Asphalt roads","Darkness - lights lit","Raining","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Moving Backward",2
"179","18-30","Male","Junior high school","Employee","Above 10yr","other","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No distancing",2
"180","31-50","Male","Junior high school","Employee","1-2yr","Undivided Two way","Y Shape","Asphalt roads","Daylight","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Moving Backward",2
"181","31-50","Male","Junior high school","Employee","2-5yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Other","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No priority to pedestrian",2
"182","31-50","Male","Junior high school","Employee","Below 1yr","One way","No junction","Asphalt roads","Daylight","Raining","Vehicle with vehicle collision","Going straight","Not a Pedestrian","Changing lane to the left",2
"183","31-50","Male","Junior high school","Employee","Above 10yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Daylight","Raining","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No distancing",2
"184","31-50","Male","Junior high school","Employee","1-2yr","Undivided Two way","No junction","Asphalt roads","Daylight","Raining","Collision with pedestrians","Going straight","Not a Pedestrian","Other",2
"185","18-30","Male","Above high school","Employee","5-10yr","Undivided Two way","Y Shape","Other","Daylight","Normal","Collision with pedestrians","Moving Backward","Not a Pedestrian","No distancing",2
"186","18-30","Male","Junior high school","Employee","5-10yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Daylight","Normal","Collision with roadside objects","Going straight","Not a Pedestrian","No priority to pedestrian",2
"187","18-30","Female","Elementary school","Owner","Below 1yr","Two-way (divided with broken lines road marking)","Y Shape","Asphalt roads","Darkness - lights lit","Normal","Collision with pedestrians","Going straight","Not a Pedestrian","Moving Backward",2
"188","31-50","Male","Junior high school","Unknown","5-10yr","Undivided Two way","Y Shape","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No priority to pedestrian",2
"189","Over 51","Unknown","Junior high school","Employee","Above 10yr","Undivided Two way","Y Shape","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No distancing",2
"190","31-50","Male","Junior high school","Unknown","5-10yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Darkness - lights lit","Normal","Vehicle with vehicle collision","Going straight","Not a Pedestrian","No priority to pedestrian",1
"191","18-30","Male","Junior high school","Employee","1-2yr","Two-way (divided with broken lines road marking)","No junction","Asphalt roads","Darkness - lights lit","Raining","Collision with roadside objects","Going straight","Not a Pedestrian","Driving carelessly",1
